id,user_id,user_uid,product_title,product_breadcrumb,product_url,created_at,updated_at
66,78,78,Magenta Printed Jumpsuit,,,2024-03-05 19:42:20,2024-03-05 19:42:20
67,78,78,Floral Printed Round Neck T-Shirt,,,2024-03-05 19:42:20,2024-03-05 19:42:20
68,78,78,Cotton Rich Cuffed Joggers,,,2024-03-05 19:42:20,2024-03-05 19:42:20
69,78,78,Jersey Wide Leg Trousers with Stretch,,,2024-03-05 19:42:20,2024-03-05 19:42:20
70,78,78,Organic Percale Sheet Set,,,2024-03-05 19:42:20,2024-03-05 19:42:20
71,78,78,White Noise Machine,,,2024-03-05 19:42:20,2024-03-05 19:42:20
72,78,78,Anywhere Travel Pillow,,,2024-03-05 19:42:20,2024-03-05 19:42:20
73,78,78,Original Dog Bed,,,2024-03-05 19:42:20,2024-03-05 19:42:20
74,78,78,Mattress Protector,,,2024-03-05 19:42:20,2024-03-05 19:42:20
75,78,78,"Kapiva Him Foods Shilajit Gold, 30 capsules",,,2024-03-05 19:42:20,2024-03-05 19:42:20
76,78,78,"Titan Crest with 3.63 cm AMOLED Display and AOD, Functional Crown, BT Calling Smartwatch with Rose Gold Mesh Strap",,,2024-03-05 19:43:10,2024-03-05 19:43:10
77,78,78,Titan Mechanical Green Dial Automatic watch for Men with Leather Strap,,,2024-03-05 19:43:10,2024-03-05 19:43:10
78,78,78,Anne Klein Quartz Analog Blue Dial Plastic Strap Watch for Women,,,2024-03-05 19:43:10,2024-03-05 19:43:10
79,78,78,"",,,2024-03-05 19:43:10,2024-03-05 19:43:10
80,78,78,ADILETTE SHOWER SLIDES,,,2024-03-05 19:43:10,2024-03-05 19:43:10
81,78,78,SOLE Equipment Mat,,,2024-03-05 19:43:10,2024-03-05 19:43:10
82,78,78,Mint Green Golden Sequins Thread Work Saree Party Wear,,,2024-03-05 19:43:10,2024-03-05 19:43:10
83,78,78,Magenta Printed Jumpsuit,,,2024-03-05 19:43:10,2024-03-05 19:43:10
